sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 7 Nominal room-temperature mechanical properties of group L and group S tool steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"type";"condition";"tensile 
strength (MPa)";"tensile 
strength (ksi)";"0.2% yield 
strength (MPa)";"0.2% yield 
strength (ksi)";"elongation (a) (%)";"reduction 
in area (%)";"hardness, HRC (unitless)";"impact 
energy (J)";"impact 
energy (lbf ft)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"L2";"Annealed";"710";"103";"510";"74";"25";"50";"96 HRB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"L2";"Oil quenched from 855 °C (1575 °F) and single tempered at: 205 °C (400 °F)";"2000";"290";"1790";"260";"5";"15";"54";"28(b)";"21(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"L2";"Oil quenched from 855 °C (1575 °F) and single tempered at: 315 °C (600°F)";"1790";"260";"1655";"240";"10";"30";"52";"19(b)";"14(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"L2";"Oil quenched from 855 °C (1575 °F) and single tempered at: 425 °C (800 °F)";"1550";"225";"1380";"200";"12";"35";"47";"26(b)";"19(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"L2";"Oil quenched from 855 °C (1575 °F) and single tempered at: 540 °C (1000 °F)";"1275";"185";"1170";"170";"15";"45";"41";"39(b)";"29(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"L2";"Oil quenched from 855 °C (1575 °F) and single tempered at: 650 °C (1200 °F)";"930";"135";"760";"110";"25";"55";"30";"125(b)";"92(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"L6";"Annealed";"655";"95";"380";"55";"25";"55";"93 HRB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"L6";"Oil quenched from 845 °C (1550 °F) and single tempered at: 315°C (600°F)";"2000";"290";"1790";"260";"4";"9";"54";"12(b)";"9(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"L6";"Oil quenched from 845 °C (1550 °F) and single tempered at: 425 °C (800 °F)";"1585";"230";"1380";"200";"8";"20";"46";"18(b)";"13(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"L6";"Oil quenched from 845 °C (1550 °F) and single tempered at: 540 °C (1000 °F)";"1345";"195";"1100";"160";"12";"30";"42";"23(b)";"17(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"L6";"Oil quenched from 845 °C (1550 °F) and single tempered at: 650 °C (1200 °F)";"965";"140";"830";"120";"20";"48";"32";"81(b)";"60(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"S1";"Annealed";"690";"100";"415";"60";"24";"52";"96 HRB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"S1";"Oil quenched from 925 °C (1700 °F) and single tempered at: 205 °C (400 °F)";"2070";"300";"1895";"275";"";"";"57.5";"249(c)";"184(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"S1";"Oil quenched from 925 °C (1700 °F) and single tempered at: 315°C (600°F)";"2025";"294";"1860";"270";"4";"12";"54";"233(c)";"172(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"S1";"Oil quenched from 925 °C (1700 °F) and single tempered at: 425 °C (800 °F)";"1790";"260";"1690";"245";"5";"17";"50.5";"203(c)";"150(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"S1";"Oil quenched from 925 °C (1700 °F) and single tempered at: 540 °C (1000 °F)";"1680";"244";"1525";"221";"9";"23";"47.5";"230(c)";"170(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"S1";"Oil quenched from 925 °C (1700 °F) and single tempered at: 650 °C (1200 °F)";"1345";"195";"1240";"180";"12";"37";"42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"S5";"Annealed";"725";"105";"440";"64";"25";"50";"96 HRB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"S5";"Oil quenched from 870 °C (1600 °F) and single tempered at: 205 °C (400 °F)";"2345";"340";"1930";"280";"5";"20";"59";"206(c)";"152(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"S5";"Oil quenched from 870 °C (1600 °F) and single tempered at: 315°C (600°F)";"2240";"325";"1860";"270";"7";"24";"58";"232(c)";"171(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"S5";"Oil quenched from 870 °C (1600 °F) and single tempered at: 425 °C (800 °F)";"1895";"275";"1690";"245";"9";"28";"52";"243(c)";"179(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"S5";"Oil quenched from 870 °C (1600 °F) and single tempered at: 540 °C (1000 °F)";"1515";"220";"1380";"200";"10";"30";"48";"188(c)";"139(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"S5";"Oil quenched from 870 °C (1600 °F) and single tempered at: 650 °C (1200 °F)";"1035";"150";"1170";"170";"15";"40";"37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"S7";"Annealed";"640";"93";"380";"55";"25";"55";"95 HRB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"S7";"Fan cooled from 940 °C (1725 °F) and single tempered at: 205 °C (400 °F)";"2170";"315";"1450";"210";"7";"20";"58";"244(c)";"180(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"S7";"Fan cooled from 940 °C (1725 °F) and single tempered at: 315°C (600°F)";"1965";"285";"1585";"230";"9";"25";"55";"309(c)";"228(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"S7";"Fan cooled from 940 °C (1725 °F) and single tempered at: 425 °C (800 °F)";"1895";"275";"1410";"205";"10";"29";"53";"243(c)";"179(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"S7";"Fan cooled from 940 °C (1725 °F) and single tempered at: 540 °C (1000 °F)";"1820";"264";"1380";"200";"10";"33";"51";"324(c)";"239(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"S7";"Fan cooled from 940 °C (1725 °F) and single tempered at: 650 °C (1200 °F)";"1240";"180";"1035";"150";"14";"45";"39";"358(c)";"264(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
